Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0008gs0,A,"Wednesday, March 14, 2012 09:08:37 UTC",40.8990,144.9230,7,26.60,228,"off the east coast of Honshu, Japan"
ak,10429997,2,"Sunday, March 11, 2012 19:22:02 UTC",51.5174,-173.2139,6,6.20,14,"Andreanof Islands, Aleutian Islands, Alaska"
